INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; Jonas Lenz;
Execution date/time; 2022/07/21 11:28:08
AlgTestJClient version; 1.8.1
AlgTest applet version; 1.8.0_jc305
Used reader; OMNIKEY AG Smart Card Reader USB 0
Card ATR; 3b d5 18 ff 81 91 fe 1f c3 80 73 c8 21 10 0a
Card name; J2R180S0X6Q_CZA441_JCOP_4_SecID_RSAKG
Card provider; please insert link/description of shop where card was bought
Used protocol; T=1
High-power mode supported (relevant only to SIM cards according to ETSI 102 221); no

JCSystem.getVersion()[Major.Minor];3.0;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;139344B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;3990B;
JCSystem.getMaxCommitCapacity();5120B;
APDU.getInBlockSize();254B;
APDU.getOutBlockSize();254B;
APDU.getProtocol();1B;
APDU.getNAD();0B;

CPLC; 9f 7f 2a 47 90 d3 21 47 00 00 00 00 00 20 47 42 58 33 20 27 22 00 00 00 00 00 00 00 00 12 76 95 32 35 38 33 33 00 00 00 00 00 00 00 00
CPLC.ICFabricator;4790;NXP
CPLC.ICType;d321
CPLC.OperatingSystemID;4700
CPLC.OperatingSystemReleaseDate;0000
CPLC.OperatingSystemReleaseLevel;0000
CPLC.ICFabricationDate;2047;(Y DDD) date in that year
CPLC.ICSerialNumber;42583320
CPLC.ICBatchIdentifier;2722
CPLC.ICModuleFabricator;0000
CPLC.ICModulePackagingDate;0000
CPLC.ICCManufacturer;0000
CPLC.ICEmbeddingDate;0000
CPLC.ICPrePersonalizer;1276
CPLC.ICPrePersonalizationEquipmentDate;9532
CPLC.ICPrePersonalizationEquipmentID;35383333
CPLC.ICPersonalizer;0000
CPLC.ICPersonalizationDate;0000
CPLC.ICPersonalizationEquipmentID;00000000
CPLC.ICPersonalizationEquipmentID;00000000

algorithm_name; is_supported; time_elapsed; persistent_mem_allocated; ram_deselect_allocated; ram_reset_allocated;

javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;		0.063000;48;16;16
ALG_DES_CBC_ISO9797_M1;yes;		0.047000;48;16;16
ALG_DES_CBC_ISO9797_M2;yes;		0.047000;48;16;16
ALG_DES_CBC_PKCS5;yes;		0.062000;48;16;16
ALG_DES_ECB_NOPAD;yes;		0.047000;48;0;0
ALG_DES_ECB_ISO9797_M1;yes;		0.047000;48;16;16
ALG_DES_ECB_ISO9797_M2;yes;		0.047000;48;16;16
ALG_DES_ECB_PKCS5;yes;		0.047000;48;16;16
ALG_RSA_ISO14888;no;		0.016000;0;0;0
ALG_RSA_PKCS1;yes;		0.032000;28;0;0
ALG_RSA_ISO9796;no;		0.031000;0;0;0
ALG_RSA_NOPAD;yes;		0.031000;28;0;0
ALG_AES_BLOCK_128_CBC_NOPAD;yes;		0.047000;48;48;48
ALG_AES_BLOCK_128_ECB_NOPAD;yes;		0.047000;48;16;16
ALG_RSA_PKCS1_OAEP;yes;		0.031000;28;0;0
ALG_KOREAN_SEED_ECB_NOPAD;no;		0.031000;32;0;0
ALG_KOREAN_SEED_CBC_NOPAD;no;		0.016000;32;0;0
ALG_AES_BLOCK_192_CBC_NOPAD;no;		0.016000;0;0;0
ALG_AES_BLOCK_192_ECB_NOPAD;no;		0.031000;0;0;0
ALG_AES_BLOCK_256_CBC_NOPAD;no;		0.031000;0;0;0
ALG_AES_BLOCK_256_ECB_NOPAD;no;		0.016000;0;0;0
ALG_AES_CBC_ISO9797_M1;yes;		0.062000;48;48;48
ALG_AES_CBC_ISO9797_M2;yes;		0.047000;48;32;32
ALG_AES_CBC_PKCS5;yes;		0.047000;48;32;32
ALG_AES_ECB_ISO9797_M1;yes;		0.046000;48;16;16
ALG_AES_ECB_ISO9797_M2;yes;		0.063000;48;16;16
ALG_AES_ECB_PKCS5;yes;		0.046000;48;16;16
ALG_AES_CFB;no;		0.016000;0;0;0
ALG_AES_XTS;no;		0.015000;0;0;0
ALG_AES_CTR;yes;		0.047000;48;32;32
CIPHER_AES_CCM;no;		0.015000;0;0;0
