INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.,,,,,,
Tested and provided by,Ed Everett,,,,,,
Execution date/time, 2025/02/08 17:45:00,,,,,,
AlgTestJClient version, 1.8.2,,,,,,
AlgTest applet version, 1.8.2_jc304,,,,,,
Used reader, ACS ACR39U ICC Reader 01 00,,,,,,
Card ATR, 3b 69 00 02 41 43 4f 53 4a 76 31 30 31,,,,,,
Card name, ACS ACOSJ-G 40K v1.0.1 Contact,,,,,,
Card provider,https://www.smartcardfocus.com/shop/ilp/id~850/acosj-contact-only-java-card-40k-sim-cut/p/index.shtml,,,,,,
Used protocol, T=0,,,,,,
High-power mode supported (relevant only to SIM cards according to ETSI 102 221), no,,,,,,
,,,,,,,
JCSystem.getVersion()[Major.Minor],3,,,,,,
JCSystem.isObjectDeletionSupported,yes,,,,,,
JCSystem.MEMORY_TYPE_PERSISTENT,18721B,,,,,,
JCSystem.MEMORY_TYPE_TRANSIENT_RESET,1170B,,,,,,
JCSystem.MEMORY_TYPE_TRANSIENT_DESELECT,2256B,,,,,,
,,,,,,,
JCSystem.getMaxCommitCapacity(),3624B,,,,,,
APDU.getInBlockSize(),1B,,,,,,
APDU.getOutBlockSize(),258B,,,,,,
APDU.getProtocol(),0B,,,,,,
APDU.getNAD(),0B,,,,,,
CPLC, failed to obtain CPLC,,,,,,
GPDATA (Card data), 66 4c 73 4a 06 07 2a 86 48 86 fc 6b 01 60 0c 06 0a 2a 86 48 86 fc 6b 02 02 02 01 63 09 06 07 2a 86 48 86 fc 6b 03 64 0b 06 09 2a 86 48 86 fc 6b 04 02 55 65 0b 06 09 2a 86 48 86 fc 6b 02 01 03 66 0c 06 0a 2b 06 01 04 01 2a 02 6e 01 03,,,,,,
,,,,,,,
algorithm_name, is_supported, time_elapsed, persistent_mem_allocated, ram_deselect_allocated, ram_reset_allocated,,
,,,,,,,
javacardx.crypto.Cipher,,,,,,,
ALG_DES_CBC_NOPAD,yes,,,0.292,35,26,0
ALG_DES_CBC_ISO9797_M1,yes,,,0.293,35,26,0
ALG_DES_CBC_ISO9797_M2,yes,,,0.289,35,26,0
ALG_DES_CBC_PKCS5,yes,,,0.287,35,26,0
ALG_DES_ECB_NOPAD,yes,,,0.231,26,10,0
ALG_DES_ECB_ISO9797_M1,yes,,,0.229,26,10,0
ALG_DES_ECB_ISO9797_M2,yes,,,0.23,26,10,0
ALG_DES_ECB_PKCS5,yes,,,0.229,26,10,0
ALG_RSA_ISO14888,no,,,0.074,0,0,0
ALG_RSA_PKCS1,yes,,,0.239,28,2,0
ALG_RSA_ISO9796,no,,,0.075,0,0,0
ALG_RSA_NOPAD,yes,,,0.23,28,2,0
ALG_AES_BLOCK_128_CBC_NOPAD,yes,,,0.296,35,50,0
ALG_AES_BLOCK_128_ECB_NOPAD,yes,,,0.23,26,18,0
ALG_RSA_PKCS1_OAEP,no,,,0.074,0,0,0
ALG_KOREAN_SEED_ECB_NOPAD,yes,,,0.237,26,1,0
ALG_KOREAN_SEED_CBC_NOPAD,yes,,,0.291,35,17,0
ALG_AES_BLOCK_192_CBC_NOPAD,no,,,0.074,0,0,0
ALG_AES_BLOCK_192_ECB_NOPAD,no,,,0.074,0,0,0
ALG_AES_BLOCK_256_CBC_NOPAD,no,,,0.074,0,0,0
ALG_AES_BLOCK_256_ECB_NOPAD,no,,,0.075,0,0,0
ALG_AES_CBC_ISO9797_M1,yes,,,0.293,35,50,0
ALG_AES_CBC_ISO9797_M2,yes,,,0.291,35,50,0
ALG_AES_CBC_PKCS5,yes,,,0.287,35,50,0
ALG_AES_ECB_ISO9797_M1,yes,,,0.228,26,18,0
ALG_AES_ECB_ISO9797_M2,yes,,,0.229,26,18,0
ALG_AES_ECB_PKCS5,yes,,,0.228,26,18,0
ALG_AES_CFB,no,,,0.074,0,0,0
ALG_AES_XTS,no,,,0.075,0,0,0
ALG_AES_CTR,no,,,0.074,0,0,0
CIPHER_AES_CCM,no,,,0.075,0,0,0
CIPHER_AES_GCM,no,,,0.074,0,0,0
,,,,,,,
javacard.crypto.Signature,,,,,,,
ALG_DES_MAC4_NOPAD,yes,,,0.291,37,18,0
ALG_DES_MAC8_NOPAD,yes,,,0.284,37,18,0
ALG_DES_MAC4_ISO9797_M1,yes,,,0.282,37,18,0
ALG_DES_MAC8_ISO9797_M1,yes,,,0.283,37,18,0
ALG_DES_MAC4_ISO9797_M2,yes,,,0.282,37,18,0
ALG_DES_MAC8_ISO9797_M2,yes,,,0.283,37,18,0
ALG_DES_MAC4_PKCS5,yes,,,0.283,37,18,0
ALG_DES_MAC8_PKCS5,yes,,,0.283,37,18,0
ALG_RSA_SHA_ISO9796,no,,,0.076,0,0,0
ALG_RSA_SHA_PKCS1,no,,,0.076,0,0,0
ALG_RSA_MD5_PKCS1,no,,,0.076,0,0,0
ALG_RSA_RIPEMD160_ISO9796,no,,,0.075,0,0,0
ALG_RSA_RIPEMD160_PKCS1,no,,,0.075,0,0,0
ALG_DSA_SHA,no,,,0.075,0,0,0
ALG_RSA_SHA_RFC2409,no,,,0.076,0,0,0
ALG_RSA_MD5_RFC2409,no,,,0.075,0,0,0
ALG_ECDSA_SHA,yes,,,0.27,35,1,0
ALG_AES_MAC_128_NOPAD,no,,,0.075,0,0,0
ALG_DES_MAC4_ISO9797_1_M2_ALG3,yes,,,0.289,37,18,0
ALG_DES_MAC8_ISO9797_1_M2_ALG3,yes,,,0.287,37,18,0
ALG_RSA_SHA_PKCS1_PSS,no,,,0.076,0,0,0
ALG_RSA_MD5_PKCS1_PSS,no,,,0.076,0,0,0
ALG_RSA_RIPEMD160_PKCS1_PSS,no,,,0.075,0,0,0
ALG_HMAC_SHA1,no,,,0.075,0,0,0
ALG_HMAC_SHA_256,no,,,0.076,0,0,0
ALG_HMAC_SHA_384,no,,,0.076,0,0,0
ALG_HMAC_SHA_512,no,,,0.075,0,0,0
ALG_HMAC_MD5,no,,,0.076,0,0,0
ALG_HMAC_RIPEMD160,no,,,0.076,0,0,0
ALG_RSA_SHA_ISO9796_MR,no,,,0.075,0,0,0
ALG_RSA_RIPEMD160_ISO9796_MR,no,,,0.076,0,0,0
ALG_SEED_MAC_NOPAD,no,,,0.075,0,0,0
ALG_ECDSA_SHA_256,yes,,,0.27,35,1,0
ALG_ECDSA_SHA_384,yes,,,0.273,35,1,0
ALG_AES_MAC_192_NOPAD,no,,,0.074,0,0,0
ALG_AES_MAC_256_NOPAD,no,,,0.074,0,0,0
ALG_ECDSA_SHA_224,yes,,,0.268,35,1,0
ALG_ECDSA_SHA_512,yes,,,0.27,35,1,0
ALG_RSA_SHA_224_PKCS1,no,,,0.076,0,0,0
ALG_RSA_SHA_256_PKCS1,no,,,0.075,0,0,0
ALG_RSA_SHA_384_PKCS1,no,,,0.076,0,0,0
ALG_RSA_SHA_512_PKCS1,no,,,0.076,0,0,0
ALG_RSA_SHA_224_PKCS1_PSS,no,,,0.075,0,0,0
ALG_RSA_SHA_256_PKCS1_PSS,no,,,0.076,0,0,0
ALG_RSA_SHA_384_PKCS1_PSS,no,,,0.076,0,0,0
ALG_RSA_SHA_512_PKCS1_PSS,no,,,0.075,0,0,0
ALG_DES_MAC4_ISO9797_1_M1_ALG3,yes,,,0.288,37,18,0
ALG_DES_MAC8_ISO9797_1_M1_ALG3,yes,,,0.29,37,18,0
ALG_AES_CMAC_128,no,,,0.074,0,0,0
,,,,,,,
javacard.security.MessageDigest,,,,,,,
ALG_SHA,yes,,,0.196,20,1,0
ALG_MD5,yes,,,0.184,16,1,0
ALG_RIPEMD160,no,,,0.074,0,0,0
ALG_SHA_256,yes,,,0.197,20,1,0
ALG_SHA_384,yes,,,0.198,20,1,0
ALG_SHA_512,yes,,,0.195,20,1,0
ALG_SHA_224,yes,,,0.195,20,1,0
ALG_SHA3_224,no,,,0.074,0,0,0
ALG_SHA3_256,no,,,0.074,0,0,0
ALG_SHA3_384,no,,,0.074,0,0,0
ALG_SHA3_512,no,,,0.074,0,0,0
ALG_SM3,no,,,0.074,0,0,0
ALG_NULL,no,,,0.074,0,0,0
,,,,,,,
javacard.security.RandomData,,,,,,,
ALG_PSEUDO_RANDOM,yes,,,0.088,0,0,0
ALG_SECURE_RANDOM,yes,,,0.087,0,0,0
ALG_TRNG,no,,,0.075,0,0,0
ALG_ALG_PRESEEDED_DRBG,no,,,0.074,0,0,0
ALG_FAST,no,,,0.074,0,0,0
ALG_KEYGENERATION,no,,,0.074,0,0,0
,,,,,,,
javacard.security.KeyBuilder,,,,,,,
TYPE_DES_TRANSIENT_RESET,yes,,,0.279,41,0,1
TYPE_DES_TRANSIENT_DESELECT,yes,,,0.287,41,1,0
TYPE_DES LENGTH_DES,yes,,,0.266,40,0,0
TYPE_DES LENGTH_DES3_2KEY,yes,,,0.271,48,0,0
TYPE_DES LENGTH_DES3_3KEY,yes,,,0.27,56,0,0
TYPE_AES_TRANSIENT_RESET,yes,,,0.271,49,0,1
TYPE_AES_TRANSIENT_DESELECT,yes,,,0.292,49,1,0
TYPE_AES LENGTH_AES_128,yes,,,0.269,48,0,0
TYPE_AES LENGTH_AES_192,yes,,,0.27,56,0,0
TYPE_AES LENGTH_AES_256,yes,,,0.266,64,0,0
TYPE_RSA_PUBLIC LENGTH_RSA_512,yes,,,0.242,159,0,0
TYPE_RSA_PUBLIC LENGTH_RSA_736,yes,,,0.245,215,0,0
TYPE_RSA_PUBLIC LENGTH_RSA_768,yes,,,0.243,223,0,0
TYPE_RSA_PUBLIC LENGTH_RSA_896,yes,,,0.245,255,0,0
TYPE_RSA_PUBLIC LENGTH_RSA_1024,yes,,,0.242,287,0,0
TYPE_RSA_PUBLIC LENGTH_RSA_1280,yes,,,0.24,351,0,0
TYPE_RSA_PUBLIC LENGTH_RSA_1536,yes,,,0.247,415,0,0
TYPE_RSA_PUBLIC LENGTH_RSA_1984,yes,,,0.241,527,0,0
TYPE_RSA_PUBLIC LENGTH_RSA_2048,yes,,,0.242,543,0,0
TYPE_RSA_PUBLIC LENGTH_RSA_3072,no,,,0.122,17,0,0
TYPE_RSA_PUBLIC LENGTH_RSA_4096,no,,,0.113,17,0,0
TYPE_RSA_PRIVATE LENGTH_RSA_512,yes,,,0.304,167,0,0
TYPE_RSA_PRIVATE LENGTH_RSA_736,yes,,,0.308,223,0,0
TYPE_RSA_PRIVATE LENGTH_RSA_768,yes,,,0.313,231,0,0
TYPE_RSA_PRIVATE LENGTH_RSA_896,yes,,,0.308,263,0,0
TYPE_RSA_PRIVATE LENGTH_RSA_1024,yes,,,0.31,295,0,0
TYPE_RSA_PRIVATE LENGTH_RSA_1280,yes,,,0.306,359,0,0
TYPE_RSA_PRIVATE LENGTH_RSA_1536,yes,,,0.307,423,0,0
TYPE_RSA_PRIVATE LENGTH_RSA_1984,yes,,,0.314,535,0,0
TYPE_RSA_PRIVATE LENGTH_RSA_2048,yes,,,0.317,551,0,0
TYPE_RSA_PRIVATE LENGTH_RSA_3072,no,,,0.148,17,0,0
TYPE_RSA_PRIVATE LENGTH_RSA_4096,no,,,0.14,17,0,0
TYPE_RSA_PRIVATE_TRANSIENT_RESET,yes,,,0.31,296,0,1
TYPE_RSA_PRIVATE_TRANSIENT_DESELECT,yes,,,0.332,296,1,0
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_512,yes,,,0.442,226,0,0
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_736,yes,,,0.443,296,0,0
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_768,yes,,,0.444,306,0,0
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_896,yes,,,0.442,346,0,0
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1024,yes,,,0.446,386,0,0
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1280,yes,,,0.448,466,0,0
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1536,yes,,,0.444,546,0,0
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1984,yes,,,0.446,686,0,0
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_2048,yes,,,0.446,706,0,0
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_3072,no,,,0.155,23,0,0
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_4096,no,,,0.146,23,0,0
TYPE_RSA_CRT_PRIVATE_TRANSIENT_RESET,yes,,,0.438,387,0,1
TYPE_RSA_CRT_PRIVATE_TRANSIENT_DESELECT,yes,,,0.467,387,1,0
TYPE_DSA_PRIVATE LENGTH_DSA_512,no,,,0.077,0,0,0
TYPE_DSA_PRIVATE LENGTH_DSA_768,no,,,0.078,0,0,0
TYPE_DSA_PRIVATE LENGTH_DSA_1024,no,,,0.078,0,0,0
TYPE_DSA_PRIVATE_TRANSIENT_RESET,no,,,0.078,0,0,0
TYPE_DSA_PRIVATE_TRANSIENT_DESELECT,no,,,0.077,0,0,0
TYPE_DSA_PUBLIC LENGTH_DSA_512,no,,,0.078,0,0,0
TYPE_DSA_PUBLIC LENGTH_DSA_768,no,,,0.078,0,0,0
TYPE_DSA_PUBLIC LENGTH_DSA_1024,no,,,0.078,0,0,0
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_113,no,,,0.078,0,0,0
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_131,no,,,0.077,0,0,0
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_163,no,,,0.077,0,0,0
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_193,no,,,0.078,0,0,0
TYPE_EC_F2M_PRIVATE_TRANSIENT_RESET,no,,,0.077,0,0,0
TYPE_EC_F2M_PRIVATE_TRANSIENT_DESELECT,no,,,0.077,0,0,0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_112,yes,,,0.435,184,0,0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_128,yes,,,0.435,198,0,0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_160,yes,,,0.436,226,0,0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_192,yes,,,0.438,254,0,0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_224,yes,,,0.443,282,0,0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_256,yes,,,0.438,310,0,0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_320,no,,,0.117,41,0,0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_384,yes,,,0.432,422,0,0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_512,no,,,0.115,41,0,0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_521,no,,,0.103,41,0,0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_640,no,,,0.103,41,0,0
TYPE_EC_FP_PRIVATE_TRANSIENT_RESET,no,,,0.113,41,0,0
TYPE_EC_FP_PRIVATE_TRANSIENT_DESELECT,no,,,0.116,41,0,0
TYPE_KOREAN_SEED_TRANSIENT_RESET,yes,,,0.272,49,0,1
TYPE_KOREAN_SEED_TRANSIENT_DESELECT,yes,,,0.285,49,1,0
TYPE_KOREAN_SEED LENGTH_KOREAN_SEED_128,yes,,,0.267,48,0,0
TYPE_HMAC_TRANSIENT_RESET,no,,,0.077,0,0,0
TYPE_HMAC_TRANSIENT_DESELECT,no,,,0.077,0,0,0
TYPE_HMAC LENGTH_HMAC_SHA_1_BLOCK_64,no,,,0.078,0,0,0
TYPE_HMAC LENGTH_HMAC_SHA_256_BLOCK_64,no,,,0.078,0,0,0
TYPE_HMAC LENGTH_HMAC_SHA_384_BLOCK_64,no,,,0.078,0,0,0
TYPE_HMAC LENGTH_HMAC_SHA_512_BLOCK_64,no,,,0.077,0,0,0
,,,,,,,
javacard.security.KeyAgreement,,,,,,,
ALG_EC_SVDP_DH/ALG_EC_SVDP_DH_KDF,yes,,,0.134,9,0,0
ALG_EC_SVDP_DHC/ALG_EC_SVDP_DHC_KDF,yes,,,0.13,9,0,0
ALG_EC_SVDP_DH_PLAIN,yes,,,0.132,9,0,0
ALG_EC_SVDP_DHC_PLAIN,yes,,,0.13,9,0,0
ALG_EC_PACE_GM,no,,,0.074,0,0,0
ALG_EC_SVDP_DH_PLAIN_XY,no,,,0.074,0,0,0
ALG_DH_PLAIN,no,,,0.074,0,0,0
ALG_XDH,no,,,0.074,0,0,0
ALG_SM2,no,,,0.073,0,0,0
,,,,,,,
javacard.security.Checksum,,,,,,,
ALG_ISO3309_CRC16,yes,,,0.194,18,4,0
ALG_ISO3309_CRC32,yes,,,0.192,18,4,0
,,,,,,,
javacard.security.KeyPair ALG_RSA on-card generation,,,,,,,
ALG_RSA LENGTH_RSA_512,yes,,,0.66,337,0,0
ALG_RSA LENGTH_RSA_736,yes,,,0.778,449,0,0
ALG_RSA LENGTH_RSA_768,yes,,,0.809,465,0,0
ALG_RSA LENGTH_RSA_896,yes,,,1.112,529,0,0
ALG_RSA LENGTH_RSA_1024,yes,,,1.174,593,0,0
ALG_RSA LENGTH_RSA_1280,yes,,,2.053,721,0,0
ALG_RSA LENGTH_RSA_1536,yes,,,9.389,849,0,0
ALG_RSA LENGTH_RSA_1984,yes,,,4.962,1073,0,0
ALG_RSA LENGTH_RSA_2048,yes,,,2.795,1105,0,0
ALG_RSA LENGTH_RSA_3072,no,,,0.168,28,0,0
ALG_RSA LENGTH_RSA_4096,yes,,,0.618,113,0,0
,,,,,,,
javacard.security.KeyPair ALG_RSA_CRT on-card generation,,,,,,,
ALG_RSA_CRT LENGTH_RSA_512,yes,,,0.79,396,0,0
ALG_RSA_CRT LENGTH_RSA_736,yes,,,1.001,522,0,0
