INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.,,,,,,
ALG_RSA_CRT LENGTH_RSA_768,yes,,,1.485,540,0,0
ALG_RSA_CRT LENGTH_RSA_896,yes,,,0.954,612,0,0
ALG_RSA_CRT LENGTH_RSA_1024,yes,,,1.27,684,0,0
ALG_RSA_CRT LENGTH_RSA_1280,yes,,,1.086,828,0,0
ALG_RSA_CRT LENGTH_RSA_1536,yes,,,3.508,972,0,0
ALG_RSA_CRT LENGTH_RSA_1984,yes,,,11.846,1224,0,0
ALG_RSA_CRT LENGTH_RSA_2048,yes,,,6.414,1260,0,0
ALG_RSA_CRT LENGTH_RSA_3072,no,,,0.169,28,0,0
ALG_RSA_CRT LENGTH_RSA_4096,yes,,,0.743,144,0,0
,,,,,,,
javacard.security.KeyPair ALG_DSA on-card generation,,,,,,,
ALG_DSA LENGTH_DSA_512,no,,,0.118,11,0,0
ALG_DSA LENGTH_DSA_768,no,,,0.117,11,0,0
ALG_DSA LENGTH_DSA_1024,no,,,0.11,11,0,0
,,,,,,,
javacard.security.KeyPair ALG_EC_F2M on-card generation,,,,,,,
ALG_EC_F2M LENGTH_EC_F2M_113,no,,,0.114,11,0,0
ALG_EC_F2M LENGTH_EC_F2M_131,no,,,0.115,11,0,0
ALG_EC_F2M LENGTH_EC_F2M_163,no,,,0.115,11,0,0
ALG_EC_F2M LENGTH_EC_F2M_193,no,,,0.115,11,0,0
,,,,,,,
javacard.security.KeyPair ALG_EC_FP on-card generation,,,,,,,
ALG_EC_FP LENGTH_EC_FP_112,yes,,,0.994,391,0,0
ALG_EC_FP LENGTH_EC_FP_128,yes,,,1.262,421,0,0
ALG_EC_FP LENGTH_EC_FP_160,yes,,,1.32,481,0,0
ALG_EC_FP LENGTH_EC_FP_192,yes,,,1.338,541,0,0
ALG_EC_FP LENGTH_EC_FP_224,yes,,,1.385,601,0,0
ALG_EC_FP LENGTH_EC_FP_256,yes,,,1.372,661,0,0
ALG_EC_FP LENGTH_EC_FP_384,yes,,,1.547,901,0,0
ALG_EC_FP LENGTH_EC_FP_521,no,,,0.202,93,0,0
,,,,,,,
javacardx.crypto.AEADCipher,,,,,,,
CIPHER_AES_CCM,no,,,0.07,0,0,0
CIPHER_AES_GCM,no,,,0.071,0,0,0
,,,,,,,
javacard.framework.OwnerPINBuilder,,,,,,,
OWNER_PIN,no,,,0.071,0,0,0
OWNER_PIN_X,no,,,0.07,0,0,0
OWNER_PIN_X_WITH_PREDECREMENT,no,,,0.071,0,0,0
,,,,,,,
javacard.security.InitializedMessageDigest,,,,,,,
ALG_SHA,no,,,0.074,0,0,0
ALG_MD5,no,,,0.074,0,0,0
ALG_RIPEMD160,no,,,0.074,0,0,0
ALG_SHA_256,no,,,0.074,0,0,0
ALG_SHA_384,no,,,0.074,0,0,0
ALG_SHA_512,no,,,0.073,0,0,0
ALG_SHA_224,no,,,0.074,0,0,0
ALG_SHA3_224,no,,,0.074,0,0,0
ALG_SHA3_256,no,,,0.074,0,0,0
ALG_SHA3_384,no,,,0.074,0,0,0
ALG_SHA3_512,no,,,0.074,0,0,0
ALG_SM3,no,,,0.074,0,0,0
ALG_NULL,no,,,0.074,0,0,0
,,,,,,,
javacardx.crypto.Cipher.OneShot,,,,,,,
ALG_DES_CBC_NOPAD,no,,,0.071,0,0,0
ALG_DES_CBC_ISO9797_M1,no,,,0.071,0,0,0
ALG_DES_CBC_ISO9797_M2,no,,,0.071,0,0,0
ALG_DES_CBC_PKCS5,no,,,0.071,0,0,0
ALG_DES_ECB_NOPAD,no,,,0.071,0,0,0
ALG_DES_ECB_ISO9797_M1,no,,,0.071,0,0,0
ALG_DES_ECB_ISO9797_M2,no,,,0.072,0,0,0
ALG_DES_ECB_PKCS5,no,,,0.071,0,0,0
ALG_RSA_ISO14888,no,,,0.071,0,0,0
ALG_RSA_PKCS1,no,,,0.07,0,0,0
ALG_RSA_ISO9796,no,,,0.071,0,0,0
ALG_RSA_NOPAD,no,,,0.072,0,0,0
ALG_AES_BLOCK_128_CBC_NOPAD,no,,,0.071,0,0,0
ALG_AES_BLOCK_128_ECB_NOPAD,no,,,0.071,0,0,0
ALG_RSA_PKCS1_OAEP,no,,,0.071,0,0,0
ALG_KOREAN_SEED_ECB_NOPAD,no,,,0.071,0,0,0
ALG_KOREAN_SEED_CBC_NOPAD,no,,,0.071,0,0,0
ALG_AES_BLOCK_192_CBC_NOPAD,no,,,0.071,0,0,0
ALG_AES_BLOCK_192_ECB_NOPAD,no,,,0.071,0,0,0
ALG_AES_BLOCK_256_CBC_NOPAD,no,,,0.071,0,0,0
ALG_AES_BLOCK_256_ECB_NOPAD,no,,,0.071,0,0,0
ALG_AES_CBC_ISO9797_M1,no,,,0.071,0,0,0
ALG_AES_CBC_ISO9797_M2,no,,,0.072,0,0,0
ALG_AES_CBC_PKCS5,no,,,0.071,0,0,0
ALG_AES_ECB_ISO9797_M1,no,,,0.071,0,0,0
ALG_AES_ECB_ISO9797_M2,no,,,0.072,0,0,0
ALG_AES_ECB_PKCS5,no,,,0.072,0,0,0
ALG_AES_CFB,no,,,0.071,0,0,0
ALG_AES_XTS,no,,,0.07,0,0,0
ALG_AES_CTR,no,,,0.072,0,0,0
CIPHER_AES_CCM,no,,,0.071,0,0,0
CIPHER_AES_GCM,no,,,0.071,0,0,0
,,,,,,,
javacard.crypto.Signature.OneShot,,,,,,,
ALG_DES_MAC4_NOPAD,no,,,0.071,0,0,0
ALG_DES_MAC8_NOPAD,no,,,0.071,0,0,0
ALG_DES_MAC4_ISO9797_M1,no,,,0.071,0,0,0
ALG_DES_MAC8_ISO9797_M1,no,,,0.071,0,0,0
ALG_DES_MAC4_ISO9797_M2,no,,,0.071,0,0,0
ALG_DES_MAC8_ISO9797_M2,no,,,0.071,0,0,0
ALG_DES_MAC4_PKCS5,no,,,0.071,0,0,0
ALG_DES_MAC8_PKCS5,no,,,0.071,0,0,0
ALG_RSA_SHA_ISO9796,no,,,0.071,0,0,0
ALG_RSA_SHA_PKCS1,no,,,0.07,0,0,0
ALG_RSA_MD5_PKCS1,no,,,0.071,0,0,0
ALG_RSA_RIPEMD160_ISO9796,no,,,0.071,0,0,0
ALG_RSA_RIPEMD160_PKCS1,no,,,0.071,0,0,0
ALG_DSA_SHA,no,,,0.071,0,0,0
ALG_RSA_SHA_RFC2409,no,,,0.071,0,0,0
ALG_RSA_MD5_RFC2409,no,,,0.071,0,0,0
ALG_ECDSA_SHA,no,,,0.071,0,0,0
ALG_AES_MAC_128_NOPAD,no,,,0.071,0,0,0
ALG_DES_MAC4_ISO9797_1_M2_ALG3,no,,,0.071,0,0,0
ALG_DES_MAC8_ISO9797_1_M2_ALG3,no,,,0.071,0,0,0
ALG_RSA_SHA_PKCS1_PSS,no,,,0.071,0,0,0
ALG_RSA_MD5_PKCS1_PSS,no,,,0.071,0,0,0
ALG_RSA_RIPEMD160_PKCS1_PSS,no,,,0.071,0,0,0
ALG_HMAC_SHA1,no,,,0.071,0,0,0
ALG_HMAC_SHA_256,no,,,0.071,0,0,0
ALG_HMAC_SHA_384,no,,,0.071,0,0,0
ALG_HMAC_SHA_512,no,,,0.071,0,0,0
ALG_HMAC_MD5,no,,,0.071,0,0,0
ALG_HMAC_RIPEMD160,no,,,0.071,0,0,0
ALG_RSA_SHA_ISO9796_MR,no,,,0.071,0,0,0
ALG_RSA_RIPEMD160_ISO9796_MR,no,,,0.071,0,0,0
ALG_SEED_MAC_NOPAD,no,,,0.071,0,0,0
ALG_ECDSA_SHA_256,no,,,0.072,0,0,0
ALG_ECDSA_SHA_384,no,,,0.071,0,0,0
ALG_AES_MAC_192_NOPAD,no,,,0.071,0,0,0
ALG_AES_MAC_256_NOPAD,no,,,0.07,0,0,0
ALG_ECDSA_SHA_224,no,,,0.072,0,0,0
ALG_ECDSA_SHA_512,no,,,0.071,0,0,0
ALG_RSA_SHA_224_PKCS1,no,,,0.071,0,0,0
ALG_RSA_SHA_256_PKCS1,no,,,0.072,0,0,0
ALG_RSA_SHA_384_PKCS1,no,,,0.071,0,0,0
ALG_RSA_SHA_512_PKCS1,no,,,0.071,0,0,0
ALG_RSA_SHA_224_PKCS1_PSS,no,,,0.071,0,0,0
ALG_RSA_SHA_256_PKCS1_PSS,no,,,0.072,0,0,0
ALG_RSA_SHA_384_PKCS1_PSS,no,,,0.072,0,0,0
ALG_RSA_SHA_512_PKCS1_PSS,no,,,0.071,0,0,0
ALG_DES_MAC4_ISO9797_1_M1_ALG3,no,,,0.071,0,0,0
ALG_DES_MAC8_ISO9797_1_M1_ALG3,no,,,0.071,0,0,0
ALG_AES_CMAC_128,no,,,0.071,0,0,0
,,,,,,,
javacard.security.RandomData.OneShot,,,,,,,
ALG_PSEUDO_RANDOM,no,,,0.071,0,0,0
ALG_SECURE_RANDOM,no,,,0.071,0,0,0
ALG_TRNG,no,,,0.071,0,0,0
ALG_ALG_PRESEEDED_DRBG,no,,,0.071,0,0,0
ALG_FAST,no,,,0.071,0,0,0
ALG_KEYGENERATION,no,,,0.071,0,0,0
,,,,,,,
javacard.security.MessageDigest.OneShot,,,,,,,
ALG_SHA,no,,,0.071,0,0,0
ALG_MD5,no,,,0.071,0,0,0
ALG_RIPEMD160,no,,,0.072,0,0,0
ALG_SHA_256,no,,,0.07,0,0,0
ALG_SHA_384,no,,,0.071,0,0,0
ALG_SHA_512,no,,,0.071,0,0,0
ALG_SHA_224,no,,,0.071,0,0,0
ALG_SHA3_224,no,,,0.071,0,0,0
ALG_SHA3_256,no,,,0.071,0,0,0
ALG_SHA3_384,no,,,0.071,0,0,0
ALG_SHA3_512,no,,,0.072,0,0,0
ALG_SM3,no,,,0.072,0,0,0
ALG_NULL,no,,,0.071,0,0,0
,,,,,,,
javacard.security.InitializedMessageDigest.OneShot,,,,,,,
ALG_SHA,no,,,0.071,0,0,0
ALG_MD5,no,,,0.071,0,0,0
ALG_RIPEMD160,no,,,0.071,0,0,0
ALG_SHA_256,no,,,0.071,0,0,0
ALG_SHA_384,no,,,0.071,0,0,0
ALG_SHA_512,no,,,0.072,0,0,0
