INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.,,,,,,
Tested and provided by,Ed Everett,,,,,,
Execution date/time, 2025/02/08 18:12:51,,,,,,
AlgTestJClient version, 1.8.2,,,,,,
AlgTest applet version, 1.8.2_jc304,,,,,,
Used reader, ACS ACR39U ICC Reader 00 00,,,,,,
Card ATR, 3b 69 00 02 41 43 4f 53 4a 76 32 30 37,,,,,,
Card name, ACS ACOSJ-G 95K v2.0.7 Combi,,,,,,
Card provider,https://www.smartcardfocus.com/shop/ilp/id~862/acosj-dual-interface-java-card-95k/p/index.shtml,,,,,,
Used protocol, T=0,,,,,,
High-power mode supported (relevant only to SIM cards according to ETSI 102 221), no,,,,,,
,,,,,,,
JCSystem.getVersion()[Major.Minor],3,,,,,,
JCSystem.isObjectDeletionSupported,yes,,,,,,
JCSystem.MEMORY_TYPE_PERSISTENT,75686B,,,,,,
JCSystem.MEMORY_TYPE_TRANSIENT_RESET,1356B,,,,,,
JCSystem.MEMORY_TYPE_TRANSIENT_DESELECT,2496B,,,,,,
,,,,,,,
JCSystem.getMaxCommitCapacity(),7104B,,,,,,
APDU.getInBlockSize(),1B,,,,,,
APDU.getOutBlockSize(),258B,,,,,,
APDU.getProtocol(),0B,,,,,,
APDU.getNAD(),0B,,,,,,
CPLC, failed to obtain CPLC,,,,,,
GPDATA (Card data), 66 4c 73 4a 06 07 2a 86 48 86 fc 6b 01 60 0c 06 0a 2a 86 48 86 fc 6b 02 02 02 01 63 09 06 07 2a 86 48 86 fc 6b 03 64 0b 06 09 2a 86 48 86 fc 6b 04 02 55 65 0b 06 09 2a 86 48 86 fc 6b 02 01 03 66 0c 06 0a 2b 06 01 04 01 2a 02 6e 01 03,,,,,,
,,,,,,,
algorithm_name, is_supported, time_elapsed, persistent_mem_allocated, ram_deselect_allocated, ram_reset_allocated,,
,,,,,,,
ALG_AES_CTR,no,,,0.059,0,0,0
CIPHER_AES_CCM,no,,,0.061,0,0,0
CIPHER_AES_GCM,no,,,0.059,0,0,0
,,,,,,,
javacard.crypto.Signature,,,,,,,
ALG_DES_MAC4_NOPAD,yes,,,0.257,37,18,0
ALG_DES_MAC8_NOPAD,yes,,,0.281,37,18,0
ALG_DES_MAC4_ISO9797_M1,yes,,,0.264,37,18,0
ALG_DES_MAC8_ISO9797_M1,yes,,,0.274,37,18,0
ALG_DES_MAC4_ISO9797_M2,yes,,,0.275,37,18,0
ALG_DES_MAC8_ISO9797_M2,yes,,,0.273,37,18,0
ALG_DES_MAC4_PKCS5,yes,,,0.262,37,18,0
ALG_DES_MAC8_PKCS5,yes,,,0.295,37,18,0
ALG_RSA_SHA_ISO9796,no,,,0.942,186,0,0
ALG_RSA_SHA_PKCS1,yes,,,1.284,325,3,0
ALG_RSA_MD5_PKCS1,no,,,1.026,277,0,0
ALG_RSA_RIPEMD160_ISO9796,no,,,0.972,186,0,0
ALG_RSA_RIPEMD160_PKCS1,no,,,1.026,277,0,0
ALG_DSA_SHA,no,,,0.066,0,0,0
ALG_RSA_SHA_RFC2409,no,,,0.967,186,0,0
ALG_RSA_MD5_RFC2409,no,,,0.966,186,0,0
ALG_ECDSA_SHA,yes,,,0.267,35,1,0
ALG_AES_MAC_128_NOPAD,yes,,,0.267,37,34,0
ALG_DES_MAC4_ISO9797_1_M2_ALG3,yes,,,0.258,37,18,0
ALG_DES_MAC8_ISO9797_1_M2_ALG3,yes,,,0.279,37,18,0
ALG_RSA_SHA_PKCS1_PSS,no,,,0.943,186,0,0
ALG_RSA_MD5_PKCS1_PSS,no,,,0.955,186,0,0
ALG_RSA_RIPEMD160_PKCS1_PSS,no,,,0.947,186,0,0
ALG_HMAC_SHA1,no,,,0.066,0,0,0
ALG_HMAC_SHA_256,no,,,0.061,0,0,0
ALG_HMAC_SHA_384,no,,,0.063,0,0,0
ALG_HMAC_SHA_512,no,,,0.061,0,0,0
ALG_HMAC_MD5,no,,,0.064,0,0,0
ALG_HMAC_RIPEMD160,no,,,0.061,0,0,0
ALG_RSA_SHA_ISO9796_MR,no,,,0.961,186,0,0
ALG_RSA_RIPEMD160_ISO9796_MR,no,,,0.956,186,0,0
ALG_SEED_MAC_NOPAD,no,,,0.066,0,0,0
ALG_ECDSA_SHA_256,yes,,,0.263,35,1,0
ALG_ECDSA_SHA_384,yes,,,0.27,35,1,0
ALG_AES_MAC_192_NOPAD,no,,,0.064,0,0,0
ALG_AES_MAC_256_NOPAD,no,,,0.059,0,0,0
ALG_ECDSA_SHA_224,yes,,,0.26,35,1,0
ALG_ECDSA_SHA_512,yes,,,0.257,35,1,0
ALG_RSA_SHA_224_PKCS1,yes,,,1.303,325,3,0
ALG_RSA_SHA_256_PKCS1,yes,,,1.315,325,3,0
ALG_RSA_SHA_384_PKCS1,yes,,,1.285,325,3,0
ALG_RSA_SHA_512_PKCS1,yes,,,1.292,325,3,0
ALG_RSA_SHA_224_PKCS1_PSS,no,,,0.952,186,0,0
ALG_RSA_SHA_256_PKCS1_PSS,no,,,0.947,186,0,0
ALG_RSA_SHA_384_PKCS1_PSS,no,,,0.957,186,0,0
ALG_RSA_SHA_512_PKCS1_PSS,no,,,0.947,186,0,0
ALG_DES_MAC4_ISO9797_1_M1_ALG3,yes,,,0.267,37,18,0
ALG_DES_MAC8_ISO9797_1_M1_ALG3,yes,,,0.277,37,18,0
ALG_AES_CMAC_128,no,,,0.061,0,0,0
,,,,,,,
