INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; insert your name please.;
Execution date/time; 2022/06/16 01:33:38
AlgTestJClient version; 1.8.1
AlgTest applet version; 1.6.0_jc222
Used reader; OMNIKEY CardMan 5321 00 00
Card ATR; 3b 9f 96 80 1f 87 80 31 e0 73 fe 21 1b 67 4a 4c 75 30 34 05 4b a9
Card name; sysmoISIM-SJA2
Card provider; please insert link/description of shop where card was bought
Used protocol; T=0
High-power mode supported (relevant only to SIM cards according to ETSI 102 221); no

JCSystem.getVersion()[Major.Minor];3.0;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;>32767B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;6640B;
JCSystem.getMaxCommitCapacity();2804B;
APDU.getInBlockSize();-1B;
APDU.getOutBlockSize();-1B;
APDU.getProtocol();-1B;
APDU.getNAD();-1B;
CPLC; failed to obtain CPLC
algorithm_name; is_supported; time_elapsed; persistent_mem_allocated; ram_deselect_allocated; ram_reset_allocated;

javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;		0.076000;0;0;0
ALG_DES_CBC_ISO9797_M1;yes;		0.077000;0;0;0
ALG_DES_CBC_ISO9797_M2;yes;		0.085000;0;0;0
ALG_DES_CBC_PKCS5;yes;		0.078000;0;0;0
ALG_DES_ECB_NOPAD;yes;		0.078000;0;0;0
ALG_DES_ECB_ISO9797_M1;yes;		0.079000;0;0;0
ALG_DES_ECB_ISO9797_M2;yes;		0.073000;0;0;0
ALG_DES_ECB_PKCS5;yes;		0.080000;0;0;0
ALG_RSA_ISO14888;no;		0.020000;0;0;0
ALG_RSA_PKCS1;no;		0.020000;0;0;0
ALG_RSA_ISO9796;no;		0.019000;0;0;0
ALG_RSA_NOPAD;no;		0.020000;0;0;0
ALG_AES_BLOCK_128_CBC_NOPAD;yes;		0.075000;0;0;0
ALG_AES_BLOCK_128_ECB_NOPAD;yes;		0.081000;0;0;0
ALG_RSA_PKCS1_OAEP;no;		0.020000;0;0;0
ALG_KOREAN_SEED_ECB_NOPAD;no;		0.019000;0;0;0
ALG_KOREAN_SEED_CBC_NOPAD;no;		0.019000;0;0;0
ALG_AES_BLOCK_192_CBC_NOPAD;no;		0.020000;0;0;0
ALG_AES_BLOCK_192_ECB_NOPAD;no;		0.020000;0;0;0
ALG_AES_BLOCK_256_CBC_NOPAD;no;		0.020000;0;0;0
ALG_AES_BLOCK_256_ECB_NOPAD;no;		0.020000;0;0;0
ALG_AES_CBC_ISO9797_M1;yes;		0.111000;0;0;0
ALG_AES_CBC_ISO9797_M2;yes;		0.078000;0;0;0
ALG_AES_CBC_PKCS5;yes;		0.076000;0;0;0
ALG_AES_ECB_ISO9797_M1;yes;		0.077000;0;0;0
ALG_AES_ECB_ISO9797_M2;yes;		0.077000;0;0;0
ALG_AES_ECB_PKCS5;yes;		0.086000;0;0;0
ALG_AES_CFB;no;		0.019000;0;0;0
ALG_AES_XTS;no;		0.019000;0;0;0
ALG_AES_CTR;no;		0.020000;0;0;0
CIPHER_AES_CCM;no;		0.019000;0;0;0
CIPHER_AES_GCM;no;		0.019000;0;0;0

javacard.crypto.Signature
ALG_DES_MAC4_NOPAD;yes;		0.078000;0;0;0
ALG_DES_MAC8_NOPAD;yes;		0.073000;0;0;0
ALG_DES_MAC4_ISO9797_M1;yes;		0.079000;0;0;0
ALG_DES_MAC8_ISO9797_M1;yes;		0.074000;0;0;0
ALG_DES_MAC4_ISO9797_M2;yes;		0.112000;0;0;0
ALG_DES_MAC8_ISO9797_M2;yes;		0.077000;0;0;0
ALG_DES_MAC4_PKCS5;yes;		0.076000;0;0;0
ALG_DES_MAC8_PKCS5;yes;		0.077000;0;0;0
ALG_RSA_SHA_ISO9796;no;		0.019000;0;0;0
ALG_RSA_SHA_PKCS1;no;		0.019000;0;0;0
ALG_RSA_MD5_PKCS1;no;		0.019000;0;0;0
ALG_RSA_RIPEMD160_ISO9796;no;		0.019000;0;0;0
ALG_RSA_RIPEMD160_PKCS1;no;		0.019000;0;0;0
ALG_DSA_SHA;no;		0.019000;0;0;0
ALG_RSA_SHA_RFC2409;no;		0.018000;0;0;0
ALG_RSA_MD5_RFC2409;no;		0.019000;0;0;0
ALG_ECDSA_SHA;no;		0.020000;0;0;0
ALG_AES_MAC_128_NOPAD;yes;		0.077000;0;0;0
ALG_DES_MAC4_ISO9797_1_M2_ALG3;yes;		0.078000;0;0;0
ALG_DES_MAC8_ISO9797_1_M2_ALG3;yes;		0.078000;0;0;0
ALG_RSA_SHA_PKCS1_PSS;no;		0.020000;0;0;0
ALG_RSA_MD5_PKCS1_PSS;no;		0.020000;0;0;0
ALG_RSA_RIPEMD160_PKCS1_PSS;no;		0.019000;0;0;0
ALG_HMAC_SHA1;yes;		0.079000;0;0;0
ALG_HMAC_SHA_256;yes;		0.088000;0;0;0
ALG_HMAC_SHA_384;no;		0.019000;0;0;0
ALG_HMAC_SHA_512;no;		0.020000;0;0;0
ALG_HMAC_MD5;yes;		0.111000;0;0;0
ALG_HMAC_RIPEMD160;no;		0.020000;0;0;0
ALG_RSA_SHA_ISO9796_MR;no;		0.019000;0;0;0
ALG_RSA_RIPEMD160_ISO9796_MR;no;		0.019000;0;0;0
ALG_SEED_MAC_NOPAD;no;		0.020000;0;0;0
ALG_ECDSA_SHA_256;no;		0.019000;0;0;0
ALG_ECDSA_SHA_384;no;		0.019000;0;0;0
ALG_AES_MAC_192_NOPAD;no;		0.019000;0;0;0
ALG_AES_MAC_256_NOPAD;no;		0.019000;0;0;0
ALG_ECDSA_SHA_224;no;		0.019000;0;0;0
ALG_ECDSA_SHA_512;no;		0.020000;0;0;0
ALG_RSA_SHA_224_PKCS1;no;		0.019000;0;0;0
ALG_RSA_SHA_256_PKCS1;no;		0.019000;0;0;0
ALG_RSA_SHA_384_PKCS1;no;		0.020000;0;0;0
ALG_RSA_SHA_512_PKCS1;no;		0.020000;0;0;0
ALG_RSA_SHA_224_PKCS1_PSS;no;		0.020000;0;0;0
ALG_RSA_SHA_256_PKCS1_PSS;no;		0.019000;0;0;0
ALG_RSA_SHA_384_PKCS1_PSS;no;		0.020000;0;0;0
ALG_RSA_SHA_512_PKCS1_PSS;no;		0.019000;0;0;0
ALG_DES_MAC4_ISO9797_1_M1_ALG3;yes;		0.077000;0;0;0
ALG_DES_MAC8_ISO9797_1_M1_ALG3;yes;		0.075000;0;0;0
ALG_AES_CMAC_128;no;		0.020000;0;0;0

javacard.security.MessageDigest
ALG_SHA;UNKONWN_ERROR-card_has_return_value_6f00;
ALG_MD5;UNKONWN_ERROR-card_has_return_value_6f00;
ALG_RIPEMD160;no;		0.019000;0;0;0
ALG_SHA_256;UNKONWN_ERROR-card_has_return_value_6f00;
ALG_SHA_384;no;		0.019000;0;0;0
ALG_SHA_512;no;		0.019000;0;0;0
ALG_SHA_224;UNKONWN_ERROR-card_has_return_value_6f00;
ALG_SHA3_224;no;		0.020000;0;0;0
ALG_SHA3_256;no;		0.019000;0;0;0
ALG_SHA3_384;no;		0.020000;0;0;0
ALG_SHA3_512;no;		0.019000;0;0;0
ALG_SM3;no;		0.019000;0;0;0
ALG_NULL;no;		0.019000;0;0;0

javacard.security.RandomData
ALG_PSEUDO_RANDOM;UNKONWN_ERROR-card_has_return_value_6f00;
ALG_SECURE_RANDOM;UNKONWN_ERROR-card_has_return_value_6f00;
ALG_TRNG;no;		0.020000;0;0;0
ALG_ALG_PRESEEDED_DRBG;no;		0.019000;0;0;0
ALG_FAST;no;		0.019000;0;0;0
ALG_KEYGENERATION;no;		0.020000;0;0;0

javacard.security.KeyBuilder
TYPE_DES_TRANSIENT_RESET;UNKONWN_ERROR-card_has_return_value_6f00;
TYPE_DES_TRANSIENT_DESELECT;UNKONWN_ERROR-card_has_return_value_6f00;
TYPE_DES LENGTH_DES;UNKONWN_ERROR-card_has_return_value_6f00;
TYPE_DES LENGTH_DES3_2KEY;UNKONWN_ERROR-card_has_return_value_6f00;
TYPE_DES LENGTH_DES3_3KEY;UNKONWN_ERROR-card_has_return_value_6f00;
TYPE_AES_TRANSIENT_RESET;UNKONWN_ERROR-card_has_return_value_6f00;
TYPE_AES_TRANSIENT_DESELECT;UNKONWN_ERROR-card_has_return_value_6f00;
TYPE_AES LENGTH_AES_128;UNKONWN_ERROR-card_has_return_value_6f00;
TYPE_AES LENGTH_AES_192;UNKONWN_ERROR-card_has_return_value_6f00;
TYPE_AES LENGTH_AES_256;UNKONWN_ERROR-card_has_return_value_6f00;
TYPE_RSA_PUBLIC LENGTH_RSA_512;no;		0.019000;0;0;0
